review,sentiment,dissatisfaction
subrang tagal e ship. nag order ako ng 9 9 ngayon ko palang na receive 9/24 mag 1 month bago ko marecive ang item!!!! ang pangit ng service!! di responsible si seller!!! .,1,
"late dumating ung parcel and sira ung product,hnd gmagana,,on lng tpos wla na",1,
i don't think nsa 10meters ito .lukot pa,1,
"hindi ko nagustuhan yung amoy. i already received my parcel pero nung pag ka open ko, may leak and hindi ko nagustuhan yung amoy, nakakasuka yung amoy. this is my first time to buy a product in this shop and i expect too much. nakakadismaya.",1,
"wala pa jusko lorddd, unang bili ko sa cloud tester muna grabe doon sobrang bango talaga as in! tas nung malaki na ung binili ko mapapamura ka talaga tangina bakit amoy sabon? sobrang layo sa tester nung amoy jusko namann, nagbabayad naman ng maayos jusko nakakaumay ung amoy. ",1,
panget dito bumili pinapalitan yong order mo talaga kainis ng shop nato masyadong scam,1,
parang laruan yung glads niya. so dissapointed,1,
"di gumagana mic, sabog pa tunog, ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig",1,
sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,1,
0/10 di naman sya gumagawa e not satisfied buyer her.,1,
hindi gaanong nag strait and umiinit sayang pera,1,
"hindi gumagana yung mic and mahina ang sounds, not recommend!!",1,
"so dissappointed... pang regalo pa naman, wrong color yung pinadala..though mabilis sya na-deliver, i will never order again",1,
ang panget ng box tupi tupi. hindi man lang naka bubble wrap kaya pag open sira hindi umiikot.,1,
kulang ung parcel na pinadala.. kakaumay ung ganitong seller.. nxt tym check nyo muna mabuti bago ipadala.. hay naku never want to buy again in your shop,1,
"sayang ang pera sayang ang pera!nagmessage ako ky seller n make sure n wlang deffect ang item bgo i ship pero no response, hndi rin nagsend ng picture bgo i ship. pagdating ng item di gumagana.nagmessage ako para sbihin n deffective ang item pero no response. ",1,
bakit po punit yon neavy blue? yon black po okay naman. sana po pag ganyan wag nyo na edelivered.,1,
sobrang dismayado. scammmmm ang power/adjust button. as in hollow talaga. defected ang ibinigay ni seller. sana hindi mangyari sa iba. baka naman seller may magawa kang compromise para dito.,1,
hindi tama yung order ko blue football sock ang dumating ay red,1,
pano mo magugustohan ang mismo inorder mo sa live pag dating dto ang liit 38cup order ko dumating 32 wow ah maayus ako ng mine paulit ulit kopa cnbi 38 cup grabi dumating 32 png 15to17yr old aynako sayng nmn kht mora lng hnd ko pinopolut ang pira,1,
poor quality. lukot lukot na ung box. what if ipanggigift yung item? edi hindi na mabibigay kasi nga pangit na. sana man lang may pag-iingat. bawat piso pinaghihirapan ng taong bumibili.,1,
not working properly hndi ka marinig ng kausap both of them hndi gumagana. kahit sana mura lng eh mapapa mura ka ng pi kc dka marinig ng kausap mo,1,
wrong size i order size 40 but i recieved size 39 d kasya sayang pera,1,
they where careless in packing it. i got two wrong items and it is a big hassle to return it to the seller. not gonna have a repeat order.lugi ako sa pera ko. buyers beware.,1,
"it took several days before seller shipped out. i was expecting it to be leather like on the photos but it’s actually plastic and very lightweight. parang mapipigtas anytime. for the price, understandable. but i bought sandals here on shopee before na mas ok ang quality than this",1,
"nakaka disappoint tong seller na to. yellow bee yung inorder ko, ibang design yung dumating. sana ngchat man lang. meron na ako nung ganitong design. nagka doble pa tuloy. kakainis!",1,
"jusko scammer, cinancel yung request ko n return/refund, tps ang tagal p mg cht tps nag cht aq na kung bkt cinancel tps sinend lg emoji scammer.",1,
gagomg seller mali mali namn pinadala ang liit ng size 38/39 order ko tas mali rin design tarantado,1,
ilang beses ko sinigurado yung size bago mag checkout pero ang liit. no chance masuot. nag one size up pa ako nun. sana naging tama na lang ang details ng item,1,
please next time wag na kau omorder!!! jusko! waste of money!,1,
ito ung order ko sana kaso mali na ibigay sana double or triple check before iship para walang ganyan na nangyayari para same na walang naaabala.,1,
di gumagana yung mic ng headset. don't buy this. kaya pala mura,1,
"super low quality bumili ako ng 2, yung black after 1week nag auto touch na, ung rose gold naman hindi gumagana yung charging port. yung seller naman ayaw palitan yung product, don't attempt to buy this product, it'll be a waste of money. mas matibay pa yung mabbli sa bangketa.",1,
"idk nabili ko sa piso sale, gumagana naman kaso ilang minuto na ako nagchacharge ganun parin battery percent hindi nadadagdagan o minsan 1% lang na dagdag sa loob ng 10 mins.",1,
"nabudol ako dto tapos late ko na nabasa ung ibang reviews until i myself had prob of using it. it’s too heavy, easily overheats mga 5 mins pa lang d na gumana and d naka2kuha ng hair strands need ng bonggang effort. ",1,
"1 earbuds is not working di gumagana ang isang earbuds, sayang maganda sana, next time po paki double check kung working ang product na binibenta nyo bago i ship sa buyer",1,
not worth the price. expected that low quality because its cheap. pero di magagamit na di nakasaksak dahil lobat kkfull charge isang tawag lang lobat n agad,1,
"pagdating ng product may sira, nagana yung fan. pero may damage tapos yung seller sabi idiin lang at babalik din daw kahit may basag talaga. please check the photo. hindi accomodating kausap ang seller. ayaw mgpalit ng item.",1,
i ordered white and pink. ang dumating 2 items na pick ang color. walang usb ang isa. please the items po before nyo iship. basta maiship nyo lang eh,1,
disappointed ..luma na ung binigay sakin pinag gamitan na ..ung sa charging pin my kawalang na ..puro bakat pa ng rugby at gasgas.halatang halata na luma na,1,
"worst appearance tagal dumating ng item, then the lenses are in an incorrect position, i was a big trash i will not recommend these seller",1,
ang liit lang pala kakadismaya..may nabili n ako neto noon same price pero malaki..ung 1 whole parang ginawa pang 1/4 nila sa liit..umay,1,
"ang panget! ang bilis malowbat, syang pera, sbi ng seller 5hours dw dpat icharge, 5hours q ng chinarge 60mins plang lowbat na!",1,
"charger is not working. yung fan walang charge halatang pinadala ng nde tinest. and now charge ko gamit ang ibang charger, my power pero walang hangin lumalabas. my umaalog s loob. sira din. not working. ask for refund",1,
"it's not that terrible; i just didn't receive the parcel, so i can't give you an honest review. napakasaddening hahaha.",1,
"akala ko maganda, sana sa shop nlng ako na una ko inorderan bumili, di mn lng nag iiba ng kulay pag nasa outdoor , anti rad lng to tapos malaki pa.",1,
1 kala ko same siya ng amoy nong kinuha ko noon na choco vanilla. di ko to irerecommend tong scent na to guys.,1,
nag follow na sa instructions ni seller na plus 1 sa size kapag mag order pero ganyan pa rin. asked for a refund and the seller blamed me for their flawed size metrics. kasalanan ko na mali mali size chart nila . ang masama pa neto 3 pairs kaagad beware,1,
2 star para kay seller kasi mali ang binigay niyang items sa akin 5pcs nklgay pink color binigay skin 5 pcs yellow color nirefund ko siya pero di niya nirefund nakakdismaya lang kasi,1,
butas butas yung payong and hindi man lang nilagyan ng bubble wrap to make it secured not happy with the purchase,1,
hindi po ngccharge yung earbuds. sana nagrereply din kayo sa inquiries ng mga customer nyo. bad customer service.,1,
matigas sya syaka iba ang color fake sya iba ang logo sa original masyado makulay ang color,1,
sira ung item pagdating smin the other side of the neckfan is nkaangat at hndi nagana.. try to contact the seller pero prang hndi cla naniniwala.. laging nag aask ng phot and video kahit ilang bese kna nagsend and try to return pero parang nananakot pa..,1,
"mi nessage ko si seller na palitan yung color ng white kase mali nqpindot kong kulay pero d patin nyq pinalitqn,tapos nag leleak pa nakakainis",1,
none cant even remove smoke unlike other similar products. hindi siya nag ffilter,1,
not sure bakit printed binigay nyo? tapos ang liit pa ng size.. zzzzz,1,
nakiusap ako na padagdag ng one size up right after i clicked place order dhil sa reviews ko lang nabasa na need mag size up sa personal.. pero dinedma ako ni seller at itinuloy p din.,1,
"ok naman sya pero nakakagigil kasi dumating yung order ko hindi magagamit kasi kulang yung lock nya hindi nila chini check , hindi ko talaga ma gagamit , sabi pa nila kailangan ko daw magpunta malapit na jnt eh ang layo pa ng jnt bahala na kayo tinapon ko nalang",1,
manipis sa susunod na magorder ung tao kung ano inorder un pa din bigay nyo di ung bbgyan nyo ng maganda sa una tapos pangalawang order panget na manipis pa ... ung una makapal bat ganun kayo...,1,
ambaho pure seduction pero mukhang d nmn maaakit ung mga makakaamoy sakin ambaho tlaga,1,
isang gamot lang wala na sira agad ang top or ulo ng shaver,1,
i received a defective item ang ang p*n¥€+@ng shopee hindi ako pina refund. kitang kita naman sa video na nag le leak yung item. if could give zero ratings. lalo na shopee magbbgay ako,1,
nakakadissapoint naman to seller. i choose the random color pero bakit puro pink naman to? buti sana kung pinili ko puro pink lang talaga eh. jusko. tapos yung 2 pcs po hindi nagana yung ring light pero yung fan okay naman.,1,
"sorry to say but this is not real as for big size. yung cup ng bra nyo ay good for a lng, kahit n yung pinakamalaki nyong size ay hindi fit sa cup b. im so dissappointed as per your advertise.",1,
it’s not connecting there’s no code it just keep on. loading. wat a waste . i asked the. seller but still wala dedma gosh. god bless na lang,1,
"cheap looking 1 month bago na received yung item manipis yung packaging, lukot lukot yung vinyl wag kayo dito bumili,",1,
none sira yung on and off button nya! natanggal! nakaka frustrate kasi kelangan ko pa ayusin kasi nakakahiya namang ibigay na regalo eto para kay mama. badtrip!,1,
"next tym check nio item,kung gagana ba or my sira,khit cra papadala nio sa buyer nio.mkabenta lng.",1,
grabe ordered one variation nga eh para walang problema dba???? ganda sana tignan for my bedroom what the hell the wall ended in different colors lyt and dark!!!!! pahamak! walang kwenta! kaka dismaya!!! just ruined my plans so pano to? order ulit? ganun?? wag na kau mag benta kung ganun,1,
"scam scam na shop, we order a water bottle pero ang dineliver na item is bag, nag request kame ng refund and ibabalik yung item sa courier pero walang dumating. hindi naibalik yung money namen and super disappointed sa shop na toh. will never recommend this shop. please don't buy",1,
bad myghaddd! i ordered 3 kinds of earphones. lahat yun sira yung kabilang side. sayang ng pera ko. i highly suggest to buy original na lang talaga or find a good quality somewhere else.,1,
"price is not work for the quality. parang kaya siya mahal dahil lang sa portable siya but the quality and durability kahit sunny days mo lang siya gagamitin hindi tatagal. manipis ung tela,even the bakal used.",1,
bakit po maluwag yung cover nya madaling mabuksan nagkaroon na po ksi ako ng ganun ding klase pero mahigpit yung cover kaya kpg bumagsak sarado pa rin at protektado yung earbuds. madaling malowbat khit na matagal na charge di man lang umabot ng maghapon khit di ginagamit nalolowbat poor quality..,1,
"broken umbrella sira yung black umbrella, good yung maroon.. naka sealed pa yung j&t plastic..pagbukas, sira yung isa...nakakalungkot naman...seller, mapapalitan po ba yung isang sira?",1,
isa gamit sira agad hindi worth it ......,1,
"madaling ma low batt madaling ma low batt, di gumagana ung isang earbuds, bagsak sa quality",1,
"bad the pair was cheap but i didn’t expect super low quality. kahit mura, still not worth it. sayang pera.",1,
"leggings naman ata pinadala sakin hindi pajama. ang liit pa ng size, kasya lang sa bata. jusmiyo. maganda sana ang tela. dapat may choices din ng sizes seller para malaman nyo kung kakasya ba sa oorder ang ipapadala nyo. very disappointed.",1,
"hindi man lang talaga nilagyan ng bubble wrap, binalot lang ng plastic of course masira talaga.sira po nakarating sa akin baliktad na po ang salamin",1,
jan. 31 ko narecieved ngayon ko lang na rate feb. 5 umasang mag tatake in action c seller peru di marunong pumindot ng chat section nag rereplace ng items ng walang paalam kulang2x pa 10 pcs. push up bra wala sayang,1,
pangit sya kaya pala mura. putol putol 10pcs daw taus green and light violet order ko mali pa pinadala,1,
hindi na xa d same color sa first order q. pangit na ang pagka light green nya at parang hindi na xa maxado madikit.,1,
what you see is not what you get. kaya pala mura kasi mumurahing klase rin ang dumating. hindi katulad ng quality sa pictures nila.,1,
not good motivational tumbler order ko tpos 2l un tpos dumating ang layp don sa order ko tpos 1000l lng nkaka disappointed excited pa nmn akodina ako oorder dito,1,
the unit is defective. maingay yung fan parang may sira sa loob. nag sha shake yung buong unit. raised my concern sa seller pero di daw pwede palitan. akala ko pa naman okay siya kasi shopee mall,1,
masakit at natuklap balat sakong ko nang isinuot maayos packaging needs bandaid to wear,1,
oily sobrang tapang and then hindi sya kaamoy ng tunay na arianna grande cloud perfume if you're plan to buying this product mag dagdag na kayo original na bilhin nyo kesa dito.,1,
"black,blue at grey order ko pero tatlong white ang binigay saakin nagchat naman ako kay seller pero hindi na magreply.bago kayo mag order dito mag isip muna kayo kasi hindi responsive si seller tapos nagbibigay siya ng maling item.ibabalik ko pa sana kaso malaking abala na saakin.",1,
rip off tangina ampangit gago ahahhahhah pero what can u expect for 75 pesos,1,
huwag na kayong bumili sayang lang yung pera try another seller huwag dito am panget,1,
nkkadisappoint kc dami q order pangtinda rin pero ang liit ng size nila ang large ung iba small size pinadala,1,
kaya ko to binili para sa lola ko kase ganto dati cp nya samsung. pero bakit iba? iba ung home screen iba ung menu wala pang wallpaper. hindi tuloy alam ng lola ko pano gagamitin . iba ung nakuha ko kesa dun sa mga nakita ko sa reviews nakakadisappoint lang,1,
not good sobrang disappointed ako ng ma received ko ang items na order ko .bakit namn po ganito .pag open ko po sakanya aii sira na ang unany layer ng pang blush on nya. . kaya po palan pag open ko ehh ang daming tapon nya sa box nya .,1,
not good d tumitigas ung nail folish fake xa. mantsa pa sa kuko.,1,
"lacking items. wala yung wipes, imbes na yun ang importante sa order ko yun pa ang wala.",1,
i ordered pink pero white binigay nyo! sana nagsabi kayo!,1,
wag na po kau bili dito na shop..ka muntikan p kmi msunugan dhl sa grounded n product..so disappointing,1,
sayang pera dhil ganun nga pag na ideliver sayo expect mo na masisira un at nd irerefund ni seller. swertehan na lang na makakarating sayo ng ayos yung neckfan. kaya think before you check out,1,
"first gamit pa lng, madali agad malowbat. hindi naman xa palaging ginagamit kasi pang retail loading ko lng xa pero ilang oras lng dapat na naman icharge. not good when it comes to quality.",1,
nakakadis appoint ang seller.large order ko binigay sakin xxl..hndi man lang dinobol check bago binalut o baka naman sinadya nyo lang para maubos ang xxl neo?binalik ko ang item pero until now wala pang refund.mura nga sa inyo mapapamura ka naman sa wrong item na ibibigay.kata 1 star lang rate,1,
out of 10 ang score 3 lng.fake na inspi kaasar.wag lau bumili fake ung inspi nila..,1,
"unresponsive seller i wouldn't recommend buying this product, ang pangit low quality masya.. unresponsive pa ang seller, i'm unable to return it kasi walang malapit na jnt.",1,
2 binili ko 1 lang dumating ! tas pahirapan irefund d din ng rereply seller,1,
poor quality poor quality kasi compared sa color mint green masyadong naka angat ung takip ng red bottle causing na mag leak ung tubig.sana na check muna ng seller bago pinadala..,1,
deffective total waste of money. 2days lang gumana tapos sira na kaagad. nung una ambilis magrespond ni seller nung diko pa naorder receive. pagka receive ng item maluwag propeller. the after 2days totally dina sya gumana. pati seller hindi narin nagrereply,1,
maliit ung xxl nyo. sayang. ung short h&m nilagay nyo eh nike ung inorder ko. mali pa ng kulay. hayst. nipis ng shorts.,1,
poor bakit po ganito ang mouse nio may sariling buhay. gumagalaw mag isa. hirap gamitin tuloy.,1,
poor seller sent me defective item. bigla nalang nagbablack screen. i tried to get help from seller but nothings change and wala naitulong di man lang palitan yung item. hindi magamit kasi nawawala ung display. tapos 2 to 3hrs lang lowbat kagad.,1,
wag na wag kayo oorder dito mali mali size ung pinadala sa akin. sa iba na lang kayo omorder. bahalang seller to basta kumita ng pera.,1,
red ung order q itim nmn pinadala ng seller d mnlng ng inform nkkasura,1,
"10meters wallpaper?hindi siguro..halos 5meters lang sya, sobrang nipis,mabilis mawala ang dikit, not recommended this wall paper waste of money",1,
"sira po ung stand kaya dinikit ko na lng sa wall ko ung ting light, sayang lng ang money ko, akala ko nakatipid na ako.. sana nextime po paki check bago nyo ibigay sa buyer",1,
hindi katulad nung una kong nabili hindi sya magic lipbalm para lang syang lipstick na nilagay sa loob then yung pink hindi sya color white yung nasa loob color pink literal mura sya kasi para syang fake,1,
i bought 3 earphones ni isa hindi man lang nagana yung mic! i tried to the other devices and still hindi parin nagana!,1,
hindi maayos mabait si manong rider.. pero ung product parang mapipigtas agad pag sinuot mo.. though mura lang siya pero bkt parang gamit na din ung sandal......,1,
honest review sa scent na ito! hindi siya mabango.,1,
ngaun lang ako nag rate kasi sinubokan ko muna sya kung madikit talaga kasi nakaka disappoint at di sya madikit wala pang isang linggo nag tatangalan na haysss. kulang pa talaga ng isa ung white nakakainis,1,
"naka post 10 meters sinukat ko 5.5meters lang parang na scam yata ako d tuloy nag kasya , sana naging honest tayo sa post.",1,
bwesit !!!!. .i received very wrong item . square pants ba to??.nagbayad ako ng sakto pero look binigyan nio ako ng maling item.ikaw seller ayaw pag dinanghag. .paano ko to ibibinta d naman ito ung order ko. .tang.ina bwesit. .,1,
"nakakagalit paano naman ito magagamit sa pag-oonline selling kung sira...hindi pa nakakalayo si kuya jelmar na nagdeliver,tinawagan na agad namin sya ,kasi inopen agad pagkadeliver nya,sabi nya kay seller daw sabihin...ayaw palitan ni seller sayang ang ibinayad ko..nagbayad ako ng ayos",1,
"very dissapointed ako sa nabili ko. bukod sa hindi na nga pareho ang kulay na dumating, yung iba dirty white yung iba sobrang white naman, dipa pati masyadong madikit natatangal siya. i feel like rejects yung napunta sakin. yung pagka wrap hindi maganda daming nasisira sa edges ng bricks. tsssk",1,
"0/10 kulang ng parts yung dumating samin. wala yung cellphone holder hose. so pano gagamitin? i-tape namin para malagay yung phone? minessage ko yung shop, magsend daw ako ng unwrapping vid. eh nabuksan ko na. sabi follow up daw. hanggang ngayon wlang reply. worst customer service ever.",1,
not what i’ve expected. madumi yung item pag dapint parang gamit na,1,
ang panget hindi nmn magic lipstic,1,
mukang ok nmn ung item kaso nung tinry ko di mkapag download ng netflix sa play store un pa nmn sana ang purpose sa pag order..kahit shareit ayaw pa din 'not compatible' dw sayang lng pera,1,
nasira agad. wala pa 1 month it was used in care pero nasira padin agad. bgla nlng namtay then i charged it for hours pero sobrang hina na ng hangin parang hinihipan ka lang ng sobrang hina..,1,
bat naman po ganon? sira po yung neck fan sa left side. tampered pa yung boxes pagka dating. sobrang sayang naman kasi ipa pang regalo ko sana,1,
hindi maganda yung cp na narecieve nung buksan ko siya ginagamit ko siya pero nang nglowbat siya d ngpacharge saka do run ngpaopen na,1,
edit ko ratings ko.hindi ko alam kung pabango ba to o alcohol. ngyon ko lng nagamit wala man lng kaamoy amoy! hndi amoy bombshell!! amoy alcohol! ayusin nyo seller nssyang pera nmen!!!,1,
"matagal ko na to natangap almost 2weeks ago na ata, untill now di parin nagana ung remote. bumili pa ko ng battery na mas mahal pa sa inorder kong led. sana bago nyo iship paki check muna kung ok para di kayo masira. salamat",1,
pangit !!!pangit!!!sayang lang pera...parang ginamit na..hindi man lang naawa ang seller..binigyan pa ako nang ganito...ang tagal pa ng shipping...november 25 date of order..december 6 na dumating ...,1,
ndi pla maasahan ang shoopee sa mga order disappointed mo talaga ako sa dnala nio. ndiktulad ng sample n in order ko nung una dati isang pirado lng ok. pero ngaun di aya nio lng kmi npaka pngit ng dinala nio..,1,
umay napakadaling malobat sayang pera nyo dto... d man lang matagal ng 20mnts sarap i sakal sa seller ... buyset...,1,
durog yung box and the mouse is not working. sad,1,
double mousepad okay naman sana. kaso mo bumili na nga ako ng mousepad sa inyo specific. tama ba naman na ang ee mistery nyo sakin mousepad din. common sense naman sana. okay lang kung magkahiwalay package isipin ko pang na random. kaso same plastic lang eh. meaning sadyaan. -1 customer,1,
"mali kulay. nude inorder ko, pink dumating. color blind ba kayo dyan",1,
poor ok n sana..pero nd gmagana ung head set at ung mic..3 p nman inorder ko,1,
sira sira mga items dto wag kau bibili dto sabi ni seller bago daw ehh mga luma binigay saakin na items,1,
kulay black ang inorder bakit pink ang pinadala. what the h!.... tagal pa ng shipout tapos ang ending mali pa ang binigay. malayo naman ang pink sa black ah. paki ayos seller. check muna ng order ni client bago e ipadala. nakakaloka.,1,
"pwede po ba itong palitan? kasi mali ang color na binigay nyo po i ordered light grey but i got dark grey. after , i message they said the changed their color variant and the light became dark? or unavailable lang? please don't post you made some changes to avoid",1,
"w wrong size received.. instead of size 29, 28 ang pinadala.. sana man lng size 30 n lng pinadala kung hindi available",1,
sira ulo shoppe na ito. omoorder ako 10 pcs .. nakagay bawat order 10 pcs . dumating skn 45 pcs instead of 100pcs mga scammer . no to order again .. sayang kayo oorder pa naman ulit ako para sa kwarto ko .. kaya big no na!!!,1,
"i am disappointed in today’s parcel. 2nd order ko na po ito and the 1st order fits me well and i loved it that why i ordered again but i was disappointed (pls see pic) malaki, may sira yung isa tapos iba yung size sa inorder ko at sa dumating",1,
hindi po ako natuwa sa na order ko sabi niyo 10 meters 5 meters lang yung dumating,1,
grabr ndi nag rereply ang seller palpak ang deliver sinhimgalinh kau..ndi lasya sakin dumating size 6..order ko suze 38 grabe ang tagal ki inantay rapos ganito lang sya,1,
sabi ko pang newborn e pang 1 yr old na to e,1,
1 star lang ibibigay akala ko di mapapasuukan ng hangin kaya sinabing gas saving yun pala hindi makakapasok prin pala kasi di swak ung butas s burner,1,
not recommend this shop .. mali mali pinadala nila i return ko nalang daw kapag daw na receive na nila item tsaka daw ma refund item .. ang galing .. sobrang abala nyo ..,1,
size 40 order ko pinadala nyo size 39. ayan sa picture kita na burado ang size malabo mkita na 39. pero sa personal makita at halata pa din na size 39 ang binigay nyo! ayaw nyo ireturn and refund!? fine iblock at report ko shop nyo! sa halagang 197 pesos,1,
3 same color mabagal ang response ng seller inabot pa ng 2days bago ma repack ang order q... tapos ang dadating na mga kulay iba sa naka advertise nila... dalawa sa dumating na order q hindi maganda fitting sa hita hindi stretchable....pinaka masama pa tatlo dito same color,1,
ang linaw ng messages ko at note ko na 3xl order ko pero pinadala nyo pa rin 2xl di ko tuluy kasya!,1,
kung meron lang sana 0 star. 0 talaga ibibigay ko. i received damaged item. baliko yung wire and im very disappointed. the seller will not give u a refund and its just a waste of money. dont try to order from this shop coz sayang lang pera mo.,1,
30 lng dapat ang babayaran ko...pero 80 ang siningil sa akin n delivery...akala q kc 2 item na un kya ng bayad ako tiwala kc ako eh...shopee xpress delivery..,1,
"nde na maganda yng quality naun kesa sa nabili ko dto dati, ang panget ng pagka tahi nde pulido, nde pa pantay yng tahi sa garter sa laylayan as in pang pajama na lng at marites mode sa labas ng bhay nyo, nde na pede ipang gala tulad ng nabili",1,
super dali ma lowbat and super sensitive. na di-disconnect agad.,1,
isa o dalwang beses lng sya gumana. sayang money ans sayng ung oil ksw d man lang nag 3/4 ung nabawas ksw ayaw na agad gumana.,1,
lahat ng box dented. sana naka box sila lahat para maavoid ung pagkasira or maglagay ng fragile i ordered 1 pc pig and the rest assorted pero ung chinat mo lahat pigs ang design. i even asked why same lahat but no reply from seller,1,
di nagamit matagal dumatimg tas defective pa ang item. ayaw din mag refund ng seller. pag nag chat ka na ayaw gumana ng isang side mag sesend lang ng instruction. kahit naman sundin mo yung instructuin kung defective di talaga gagana.,1,
manipis n klase ng rubber .tpos dpa accurate mga sizes .dko xa mai rereccomend ..,1,
0000 hindi kayo marunong sumunod sa kong ano ang order sa inyo.maling items na nga ang binigay niyo may damage pa sa ilalim yong 2000ml order ko yong dumating 1100ml sana sa susunod wag ganyan lalo na at pa order ko yan...,1,
order ko color yellow dumating red nakakadismga lang,1,
"mali po ng kulay yung bigay nyo, color gray po yung order ko",1,
1st time pa lang i charge umosok na yung isa. ang isa nman lubog ang pindutan. 1 lang napakinabangan.,1,
bad ang pretty ng color kaya inorder ko and akala k maganda rin quality kaso hindi pala. gumagana naman pero nag oautomatic magplay yung music at google kahit dko naman pinipindot,1,
"don't buy at this shop. they're sending incomplete parcel and doesn't have a plan to give you a refund on the item that they never include on your package. sent them already pictures and videos, yet... thrice have been cancelled for just 15 pesos refund. simpleng manloloko tong shop ",1,
"akala ko ok sya kasi gumagana naman sa simula. ngayon, 3 days pa lang ayaw na mag charge. sayang pera ko!! para sa anak ko to eh...sana mapalitan po",1,
defective walang usok need refund wla kwenta ung product nio,1,
"tsssk di naman beigi, light grey ipinadala sana sumunod naman kayo haya",1,
hndi nagana yung fan.yung mga lights lang. grabe nakakhinayang ang mahal pa nman . chinarge ko na buong araw sa araw ayaw pa rin. chinarge ko nman overnight sa kuryente d parin naikot .sana nman chineck nyu dba bago nyu ibenta. karma strikes worst.. doble yung mawawala sa inyo,1,
"seller pls i need a refund!!! sira yunv pinadala niyo sakin excited pa naman ako kasi alam kong magagamit ko to dahil sa sobrang alinsangan ng panahon, tapos sira ippapadala niyo sakinnn!! i do not recommend this shoppp! may pa free kayo para ano pampa lubag loob ng buyers? hindi",1,
